Year,Month,Event,Date,Day,Timing,Nakshatra,Tithi,SpecialNotes
2028,April,Griha Pravesh,28 Apr 2028,Friday,05:42 AM - 10:30 AM,Rohini,Tritiya,Akshaya Tritiya Shubh
2028,May,Vivah Muhurat,06 May 2028,Saturday,06:30 PM - 05:10 AM (7 May),Hasta,Dwitiya,Sarvartha Siddhi Yoga
2028,June,Vahan Khareedi,15 Jun 2028,Thursday,05:23 AM - 07:15 PM,Pushya,Navami,Ravi Yoga
2028,November,Vivah Muhurat,19 Nov 2028,Sunday,06:45 PM - 06:05 AM (20 Nov),Uttara Phalguni,Dwitiya,Dev Uthani Paschat
2028,December,Property Khareedi,08 Dec 2028,Friday,07:02 AM - 03:00 PM,Anuradha,Saptami,Shubha Yoga
2029,January,Griha Pravesh,24 Jan 2029,Wednesday,07:12 AM - 11:45 AM,Uttara Ashadha,Navami,Sarvartha Siddhi Yoga
2029,February,Vivah Muhurat,03 Feb 2029,Saturday,07:20 PM - 06:35 AM (4 Feb),Rohini,Panchami,Shubh Lagna
2029,March,Mundan Muhurat,15 Mar 2029,Thursday,06:30 AM - 12:15 PM,Aswini,Dashami,Shubha Tithi
2029,April,Vivah Muhurat,20 Apr 2029,Friday,06:00 PM - 05:25 AM (21 Apr),Anuradha,Saptami,Shubh Muhurat
2029,May,Griha Pravesh,17 May 2029,Thursday,05:30 AM - 10:10 AM,Rohini,Panchami,Amrit Siddhi Yoga
2029,November,Vivah Muhurat,18 Nov 2029,Sunday,06:42 PM - 06:12 AM (19 Nov),Uttara Phalguni,Tritiya,Shubha Lagna
2029,December,Vahan Khareedi,12 Dec 2029,Wednesday,07:05 AM - 05:00 PM,Pushya,Ekadashi,Ravi Yoga
2030,January,Vivah Muhurat,17 Jan 2030,Thursday,07:15 PM - 06:45 AM (18 Jan),Rohini,Trayodashi,Shubh Muhurat
2030,February,Griha Pravesh,14 Feb 2030,Thursday,07:00 AM - 12:20 PM,Uttara Bhadrapada,Ekadashi,Sarvartha Siddhi Yoga
2030,April,Property Khareedi,11 Apr 2030,Thursday,06:00 AM - 02:15 PM,Hasta,Panchami,Ravi Yoga
2030,May,Vivah Muhurat,01 May 2030,Wednesday,06:15 PM - 05:15 AM (2 May),Anuradha,Tritiya,Akshaya Tritiya Shubh
2030,June,Mundan Muhurat,13 Jun 2030,Thursday,05:23 AM - 11:00 AM,Pushya,Dashami,Shubha Tithi
2030,November,Vivah Muhurat,22 Nov 2030,Friday,06:48 PM - 06:20 AM (23 Nov),Rohini,Dwitiya,Dev Uthani Paschat
2030,December,Griha Pravesh,18 Dec 2030,Wednesday,07:10 AM - 01:00 PM,Uttara Ashadha,Saptami,Shubh Nakshatra
